status,experiment,description,input_file,backend,memory_optimized,deterministic_soa,gpu_enabled,gpu_simulation,gpu_classification,gpu_rasterization,gpu_device_id,backend_error,error_type,error_message,point_count,cloth_width,cloth_height,particle_count,iterations_configured,iterations_run,ground_count,non_ground_count,ground_ratio,cloth_resolution,rigidness,time_step,class_threshold,bSloopSmooth,read_las_ms,set_point_cloud_ms,bounding_box_ms,cloth_init_ms,rasterization_ms,simulation_ms,timestep_ms,verlet_ms,constraint_ms,maxdiff_ms,collision_ms,postprocess_ms,classification_ms,write_las_ms,total_filtering_ms,total_wall_ms
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,1.las,legacy,False,False,False,False,False,False,0,,,,90223460,11103,5810,64508430,500,500,14691455,75532005,0.16283408993625384,0.1,1,0.5,0.05,False,2414.1625499996735,640.0510809999105,176.512829,31315.765809,43348.622788,1355813.676906,1313208.943375,127328.611136,1110479.900572,75399.981564,42604.136488,0.0,3200.083035,0.0,1434313.926001,1456728.884123
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,10.las,legacy,False,False,False,False,False,False,0,,,,72950653,3381,2378,8040018,500,500,12498050,60452603,0.17132197569225321,0.1,1,0.5,0.05,False,1065.3256719997444,268.31147400116606,152.62378,2210.833878,5159.001873,145103.237671,139040.36767,15069.593581,114559.160383,9411.13601,6062.249633,0.0,1070.525024,0.0,153750.219732,161311.3376600013
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,2.las,legacy,False,False,False,False,False,False,0,,,,11842343,1122,1138,1276836,500,500,2324272,9518071,0.1962679175902944,0.1,1,0.5,0.05,False,164.6454489982716,40.32167300101719,23.35748,263.389864,686.66041,15489.882482,14424.710743,2418.540767,10326.714992,1679.013606,1064.604832,0.0,218.043988,0.0,16689.806086,17849.583459001224
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,3.las,legacy,False,False,False,False,False,False,0,,,,51246874,1686,2806,4730916,500,500,11448088,39798786,0.22339095258766417,0.1,1,0.5,0.05,False,786.180269000397,178.0103239998425,103.232037,1224.227084,1841.841232,63823.062383,60175.362984,8571.235568,45890.61965,5712.35043,3646.983455,0.0,672.195465,0.0,67695.384104,72893.0211400002
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,4.las,legacy,False,False,False,False,False,False,0,,,,86967669,5503,2791,15358873,500,500,23047795,63919874,0.26501566921380865,0.1,1,0.5,0.05,False,1259.3405059997167,306.6159919999336,175.630741,5500.326842,12275.402991,270186.818802,259829.206726,24472.404949,219880.489988,15475.849499,10356.990044,0.0,1759.79395,0.0,290007.033084,299604.31290400086
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,5.las,legacy,False,False,False,False,False,False,0,,,,76052862,3108,1863,5790204,500,500,19357277,56695585,0.25452397833496393,0.1,1,0.5,0.05,False,952.7837969999382,274.18699199915864,161.285224,1508.239078,3536.718533,95556.713221,90964.956603,9848.683052,74551.404445,6564.335893,4591.099958,0.0,1046.85394,0.0,101847.574451,109181.97956999938
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,6.las,legacy,False,False,False,False,False,False,0,,,,53035845,2786,2216,6173776,500,403,16410671,36625174,0.3094260306402208,0.1,1,0.5,0.05,False,622.0183570003428,180.114359000072,105.136213,1643.892349,3274.081644,82378.172961,78292.288173,9015.733325,63471.447601,5804.692718,4085.396445,0.0,770.98318,0.0,88212.181007,93558.56584700086
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,7.las,legacy,False,False,False,False,False,False,0,,,,38105380,3256,1860,6056160,500,414,10500851,27604529,0.27557397406875356,0.1,1,0.5,0.05,False,540.3304259998549,130.30125600016618,76.247512,1425.321536,3064.269999,86111.732246,82071.617386,8927.749575,67272.198989,5871.2587,4039.614257,0.0,561.645339,0.0,91277.747776,95518.41872700061
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,8.las,legacy,False,False,False,False,False,False,0,,,,11020696,1433,1341,1921653,500,392,3384653,7636043,0.3071178989058404,0.1,1,0.5,0.05,False,137.73815800050215,45.67883600066125,26.625788,423.265646,565.015497,19783.770058,18066.599063,2860.403031,13113.920815,2091.913909,1716.712308,0.0,184.188927,0.0,20995.788403,22201.025868000215
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,9.las,legacy,False,False,False,False,False,False,0,,,,57338826,1875,2633,4936875,500,500,11898931,45439895,0.20751961332448626,0.1,1,0.5,0.05,False,1020.6425519991171,200.3747190010472,118.081942,1273.505981,2521.502708,72590.774975,67734.803174,9765.137356,51536.294239,6432.915617,4855.373822,0.0,741.871482,0.0,77278.334784,83250.10206500156
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,1.las,legacy,True,False,False,False,False,False,0,,,,90223460,11103,5810,64508430,500,500,14691455,75532005,0.16283408993625384,0.1,1,0.5,0.05,False,1392.9568919993471,309.3274820002989,182.996843,37097.409643,37437.807067,1359459.935086,1316896.466324,127495.818053,1114320.322528,75079.866452,42562.826712,0.0,2741.737701,0.0,1437343.987925,1450292.0956040015
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,10.las,legacy,True,False,False,False,False,False,0,,,,72950653,3381,2378,8040018,500,500,12498050,60452603,0.17132197569225321,0.1,1,0.5,0.05,False,1016.9785910002247,262.9395169988129,148.143656,2398.976491,4351.765195,143168.925658,137518.780918,14713.277234,113729.367137,9075.668778,5649.54328,0.0,993.327249,0.0,151114.555325,158059.46896700154
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,2.las,legacy,True,False,False,False,False,False,0,,,,11842343,1122,1138,1276836,500,500,2324272,9518071,0.1962679175902944,0.1,1,0.5,0.05,False,179.24439299895312,40.347503001612495,23.371987,315.850847,492.347857,15947.471846,14748.844149,2590.438604,10363.873456,1793.910128,1198.047045,0.0,199.172663,0.0,16986.628128,18091.681955998865
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,3.las,legacy,True,False,False,False,False,False,0,,,,51246874,1686,2806,4730916,500,500,11448088,39798786,0.22339095258766417,0.1,1,0.5,0.05,False,788.3710829992197,176.0338000003685,119.611494,1470.686307,1366.819249,62477.682438,58991.185869,8454.112567,45039.322505,5497.266305,3485.898508,0.0,669.60134,0.0,66135.699166,70976.96331999941
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,4.las,legacy,True,False,False,False,False,False,0,,,,86967669,5503,2791,15358873,500,500,23047795,63919874,0.26501566921380865,0.1,1,0.5,0.05,False,1291.310987999168,303.24794799889787,176.102309,5131.9993,11606.453139,269706.020729,259316.51554,24502.089839,219292.895442,15521.081972,10388.915498,0.0,1528.983903,0.0,288250.877749,296943.5155020001
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,5.las,legacy,True,False,False,False,False,False,0,,,,76052862,3108,1863,5790204,500,500,19357277,56695585,0.25452397833496393,0.1,1,0.5,0.05,False,1014.4512660008331,266.48710500012385,156.612049,1800.690559,2828.874328,94173.125846,90006.942598,9531.234543,74195.540686,6279.664292,4165.578854,0.0,1063.512672,0.0,100065.500588,107214.3419139993
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,6.las,legacy,True,False,False,False,False,False,0,,,,53035845,2786,2216,6173776,500,403,16410671,36625174,0.3094260306402208,0.1,1,0.5,0.05,False,686.5330889995676,183.30025100112834,107.395021,1942.018651,2906.652111,80107.111576,76542.779278,8507.814394,62611.385506,5423.197128,3563.840466,0.0,783.168393,0.0,85886.522956,90950.9382139986
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,7.las,legacy,True,False,False,False,False,False,0,,,,38105380,3256,1860,6056160,500,414,10500851,27604529,0.27557397406875356,0.1,1,0.5,0.05,False,513.8242379998701,130.24290800058225,78.09109,1749.367036,2903.062188,82965.429605,79492.367076,8458.42104,65610.890232,5422.646828,3472.53526,0.0,554.212178,0.0,88289.743131,92058.49822100026
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,8.las,legacy,True,False,False,False,False,False,0,,,,11020696,1433,1341,1921653,500,392,3384653,7636043,0.3071178989058404,0.1,1,0.5,0.05,False,149.8465889999352,37.85890799917979,32.424361,508.410606,471.149375,17952.65567,16727.95192,2481.479529,12483.051701,1763.067643,1224.201639,0.0,172.95342,0.0,19150.260477,20215.17304400004
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,9.las,legacy,True,False,False,False,False,False,0,,,,57338826,1875,2633,4936875,500,500,11898931,45439895,0.20751961332448626,0.1,1,0.5,0.05,False,908.7785550000262,193.424592998781,120.617076,1385.305329,1981.809648,67484.60575,63845.620588,8543.173131,49661.362593,5640.637397,3638.385301,0.0,710.708156,0.0,71715.195623,76956.62257599906
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,1.las,deterministic_soa,True,True,False,False,False,False,0,,,,90223460,11103,5810,64508430,500,500,34768928,55454532,0.38536460472697454,0.1,1,0.5,0.05,False,1277.5812659983785,394.82423400113476,188.568423,7755.183029,30017.03235,54064.183424,45829.305698,5620.294898,37181.125661,3027.168634,8234.249213,0.0,2164.665775,0.0,94218.937274,102060.1722880001
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,10.las,deterministic_soa,True,True,False,False,False,False,0,,,,72950653,3381,2378,8040018,500,500,18094811,54855842,0.24804179614403177,0.1,1,0.5,0.05,False,928.7788239998918,252.24978100050066,151.495404,703.410628,4034.706178,7796.343577,6485.193385,839.586275,5070.292148,574.864459,1310.607062,0.0,1015.264209,0.0,13722.091997,19976.871703000143
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,2.las,deterministic_soa,True,True,False,False,False,False,0,,,,11842343,1122,1138,1276836,500,500,3419482,8422861,0.28875046095185725,0.1,1,0.5,0.05,False,157.9865779985994,40.34447599951818,23.134025,93.165442,310.97613,598.596929,480.156924,62.698722,368.46623,48.793684,118.283487,0.0,177.596636,0.0,1224.690948,2198.354747000849
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,3.las,deterministic_soa,True,True,False,False,False,False,0,,,,51246874,1686,2806,4730916,500,500,15260623,35986251,0.29778641717736776,0.1,1,0.5,0.05,False,727.6927840011922,174.02516699985426,101.217643,390.865701,1223.674213,3664.54551,2958.825199,355.521542,2353.780553,249.044369,705.246974,0.0,700.192928,0.0,6102.560732,10422.454686000492
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,4.las,deterministic_soa,True,True,False,False,False,False,0,,,,86967669,5503,2791,15358873,500,500,30742574,56225095,0.3534942853303335,0.1,1,0.5,0.05,False,1188.1360100014717,313.19751699993503,172.757347,1443.129644,12456.475359,11825.96997,9802.204375,1161.698699,7930.483791,709.488806,2023.159937,0.0,1387.663468,0.0,27299.671505,34789.005228998576
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,5.las,deterministic_soa,True,True,False,False,False,False,0,,,,76052862,3108,1863,5790204,500,500,27790327,48262535,0.3654080368467922,0.1,1,0.5,0.05,False,1030.3726860001916,310.44570300036867,150.431623,488.546054,2970.208987,4399.912998,3568.192584,391.494227,2916.616777,259.642205,831.186895,0.0,1090.883124,0.0,9121.207889,15497.183792000214
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,6.las,deterministic_soa,True,True,False,False,False,False,0,,,,53035845,2786,2216,6173776,500,500,20658663,32377182,0.3895226520855848,0.1,1,0.5,0.05,False,741.4485299996159,179.3898710002395,103.818521,489.604077,2982.288445,5161.573419,4287.101408,540.104018,3409.208796,337.350148,873.956057,0.0,761.116592,0.0,9510.572957,14021.093981999002
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,7.las,deterministic_soa,True,True,False,False,False,False,0,,,,38105380,3256,1860,6056160,500,500,13757228,24348152,0.3610311194902137,0.1,1,0.5,0.05,False,534.9689220001892,133.26269899880572,79.340311,469.739375,2848.292367,4799.848406,3919.039244,453.931266,3165.790201,298.85401,880.291877,0.0,540.289497,0.0,8754.949995,11979.532389999804
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,8.las,deterministic_soa,True,True,False,False,False,False,0,,,,11020696,1433,1341,1921653,500,500,4172869,6847827,0.3786393345756021,0.1,1,0.5,0.05,False,152.74020900142204,37.926747998426436,21.925557,141.468222,375.438505,1071.575527,874.999043,96.430469,719.010393,59.327198,196.435814,0.0,160.821896,0.0,1783.634604,2687.4754580003355
ok,02_deterministic_soa,Stage 2 deterministic SoA backend.,9.las,deterministic_soa,True,True,False,False,False,False,0,,,,57338826,1875,2633,4936875,500,500,15815139,41523687,0.27581902357052096,0.1,1,0.5,0.05,False,800.89992899957,215.63776999937545,121.045713,408.041746,1839.610991,3706.255478,3005.518104,351.773925,2422.732459,230.576742,700.376623,0.0,797.540037,0.0,6889.172275,11703.82175299892
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",1.las,gpu,True,True,True,True,False,False,0,,,,90223460,11103,5810,64508430,500,500,34770804,55452656,0.38538539754516177,0.1,1,0.5,0.05,False,1235.7024389984872,403.62238500165404,188.451248,7850.09146,30008.801809,6130.753011,4571.540313,601.681524,2621.597838,1348.260951,788.459376,0.0,2193.529661,0.0,46721.930677,54489.836045999255
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",10.las,gpu,True,True,True,True,False,False,0,,,,72950653,3381,2378,8040018,500,500,18095667,54854986,0.24805353010342485,0.1,1,0.5,0.05,False,932.900238000002,243.1665799995244,141.989395,680.248778,3954.486405,946.145352,722.147047,74.913291,312.682229,334.551527,113.164355,0.0,1010.226307,0.0,6763.462491,13130.147349000254
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",2.las,gpu,True,True,True,True,False,False,0,,,,11842343,1122,1138,1276836,500,500,3421361,8420982,0.2889091288776216,0.1,1,0.5,0.05,False,156.12907900140272,40.09853800016572,23.815614,91.755974,309.270296,142.957972,91.644167,16.721174,34.319999,40.602994,18.37166,0.0,177.536818,0.0,760.416216,1752.289178000865
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",3.las,gpu,True,True,True,True,False,False,0,,,,51246874,1686,2806,4730916,500,500,15260858,35986016,0.2977910028229234,0.1,1,0.5,0.05,False,717.1405410008447,174.95083499852626,102.704035,407.04535,1257.298948,621.231247,477.786536,41.777225,154.04437,281.964941,74.87854,0.0,719.295859,0.0,3129.87981,7513.446713999656
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",4.las,gpu,True,True,True,True,False,False,0,,,,86967669,5503,2791,15358873,500,500,30757615,56210054,0.3536672346593537,0.1,1,0.5,0.05,False,1203.2739219994255,302.562773000318,170.221501,1435.053232,12413.293787,1517.441998,1126.896905,121.748474,543.731059,461.417372,198.136958,0.0,1371.747441,0.0,16963.269341,24354.07371399924
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",5.las,gpu,True,True,True,True,False,False,0,,,,76052862,3108,1863,5790204,500,500,27790328,48262534,0.3654080499955413,0.1,1,0.5,0.05,False,1065.4049410004518,269.7688160005782,155.193191,474.226353,3000.600928,675.810862,503.925056,45.715338,186.917599,271.292119,85.858949,0.0,1085.267189,0.0,5416.000062,11964.722699998674
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",6.las,gpu,True,True,True,True,False,False,0,,,,53035845,2786,2216,6173776,500,500,20659915,32375930,0.38954625876140936,0.1,1,0.5,0.05,False,720.456319000732,182.8572600006737,104.58935,475.973197,3002.6034,730.813861,566.917046,57.132108,230.501609,279.283329,87.511534,0.0,720.728188,0.0,5068.324369,9471.549437001158
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",7.las,gpu,True,True,True,True,False,False,0,,,,38105380,3256,1860,6056160,500,500,13757228,24348152,0.3610311194902137,0.1,1,0.5,0.05,False,517.4219500004256,128.1452299990633,75.216474,444.639712,2791.78413,696.814147,529.261887,50.846737,207.859555,270.555595,87.411239,0.0,528.081231,0.0,4572.125348,7807.2625679997145
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",8.las,gpu,True,True,True,True,False,False,0,,,,11020696,1433,1341,1921653,500,500,4172902,6847794,0.37864232894183814,0.1,1,0.5,0.05,False,154.68755300025805,38.820076999400044,22.283823,151.867662,367.693006,183.467609,119.558468,21.091095,52.381636,46.085737,30.587189,0.0,163.664489,0.0,913.37285,1838.8602110007923
ok,03_gpu_simulation,"Stage 3 GPU simulation, CPU classification.",9.las,gpu,True,True,True,True,False,False,0,,,,57338826,1875,2633,4936875,500,500,15815140,41523686,0.2758190410107106,0.1,1,0.5,0.05,False,891.5777990005154,203.50082900040434,125.395861,414.126268,1889.14422,633.421319,488.467941,43.230168,163.803502,281.434271,76.699874,0.0,803.890179,0.0,3898.38555,8849.566618000608
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,1.las,gpu,True,True,True,True,True,False,0,,,,90223460,11103,5810,64508430,500,500,34770804,55452656,0.38538539754516177,0.1,1,0.5,0.05,False,1322.5621020010294,329.01277000019036,182.635382,7705.060459,30077.22486,6025.051994,4472.904791,584.774691,2542.741944,1345.388156,768.889201,0.0,6388.559505,0.0,50551.014027,58437.756915000136
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,10.las,gpu,True,True,True,True,True,False,0,,,,72950653,3381,2378,8040018,500,500,18095667,54854986,0.24805353010342485,0.1,1,0.5,0.05,False,942.5908749999508,253.2599410005787,144.715308,713.493532,3992.276871,937.233105,719.786785,76.241976,317.478835,326.065974,113.928532,0.0,603.548719,0.0,6429.450961,12892.348643999867
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,2.las,gpu,True,True,True,True,True,False,0,,,,11842343,1122,1138,1276836,500,500,3421361,8420982,0.2889091288776216,0.1,1,0.5,0.05,False,154.22728800149343,40.91308600072807,23.448535,92.385529,311.594853,140.866837,91.961397,16.973107,34.610775,40.377515,18.323192,0.0,106.885693,0.0,689.564327,1692.7776870015805
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,3.las,gpu,True,True,True,True,True,False,0,,,,51246874,1686,2806,4730916,500,500,15260858,35986016,0.2977910028229234,0.1,1,0.5,0.05,False,706.2380940005824,177.82089399952383,104.435046,362.482406,1240.087771,601.336849,455.575578,40.939717,150.933249,263.702612,72.379541,0.0,427.294825,0.0,2757.452663,7040.69917400011
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,4.las,gpu,True,True,True,True,True,False,0,,,,86967669,5503,2791,15358873,500,500,30757615,56210054,0.3536672346593537,0.1,1,0.5,0.05,False,1167.7544209996995,302.53150099997583,178.929892,1409.529193,12611.481311,1531.973707,1142.16798,125.429127,549.58992,467.148933,200.664298,0.0,776.567835,0.0,16568.100594,23990.59112299983
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,5.las,gpu,True,True,True,True,True,False,0,,,,76052862,3108,1863,5790204,500,500,27790328,48262534,0.3654080499955413,0.1,1,0.5,0.05,False,1146.8214720007381,250.89102700076182,147.706082,448.842997,2888.420408,667.990317,512.370967,44.493777,183.784569,284.092621,84.420112,0.0,632.47216,0.0,4819.919056,11349.29990099954
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,6.las,gpu,True,True,True,True,True,False,0,,,,53035845,2786,2216,6173776,500,500,20659915,32375930,0.38954625876140936,0.1,1,0.5,0.05,False,747.5047499992797,184.2333199983841,106.186561,483.990849,2973.638543,757.739961,591.137603,60.936716,238.892556,291.308331,90.907313,0.0,460.344868,0.0,4819.7028,9301.20617600005
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,7.las,gpu,True,True,True,True,True,False,0,,,,38105380,3256,1860,6056160,500,500,13757228,24348152,0.3610311194902137,0.1,1,0.5,0.05,False,545.6100640003569,135.0955280013295,86.542801,452.933095,2831.152688,708.978836,535.461232,50.922412,208.356689,276.182131,89.722777,0.0,328.816377,0.0,4433.702375,7737.988310000219
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,8.las,gpu,True,True,True,True,True,False,0,,,,11020696,1433,1341,1921653,500,500,4172902,6847794,0.37864232894183814,0.1,1,0.5,0.05,False,144.95575799992366,37.73355900011666,25.014211,141.091523,381.484359,185.944845,118.076254,20.430834,51.788651,45.856769,29.880851,0.0,96.424713,0.0,845.29905,1759.0528590008034
ok,04_gpu_simulation_classification,Stage 3 GPU simulation and GPU classification.,9.las,gpu,True,True,True,True,True,False,0,,,,57338826,1875,2633,4936875,500,500,15815140,41523686,0.2758190410107106,0.1,1,0.5,0.05,False,823.4716070001014,197.04457800071395,121.720302,428.51962,1888.875385,604.743759,454.890042,41.573755,155.849429,257.466858,73.873195,0.0,465.650178,0.0,3531.479563,8334.446827000647
